"","country","year","iso_code","population","gdp","co2","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","cumulative_co2","energy_per_capita","energy_per_gdp","oil_co2","oil_co2_per_capita","ghg_per_capita","share_global_co2","share_global_coal_co2","temperature_change_from_co2","trade_co2","co2_including_luc","co2_including_luc_per_capita","gdp_per_capita"
"1","High-income countries",1750,NA,160098181,NA,9.351,0.057,NA,NA,9.351,0.057,NA,NA,9.351,NA,NA,0,0,NA,100,100,NA,NA,NA,NA,NA
"2","High-income countries",1751,NA,NA,NA,9.351,NA,NA,NA,9.351,NA,NA,NA,18.701,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"3","High-income countries",1752,NA,NA,NA,9.354,NA,NA,NA,9.354,NA,NA,NA,28.055,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"4","High-income countries",1753,NA,NA,NA,9.354,NA,NA,NA,9.354,NA,NA,NA,37.409,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"5","High-income countries",1754,NA,NA,NA,9.358,NA,NA,NA,9.358,NA,NA,NA,46.767,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"6","High-income countries",1755,NA,NA,NA,9.362,NA,NA,NA,9.362,NA,NA,NA,56.129,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"7","High-income countries",1756,NA,NA,NA,10.006,NA,NA,NA,10.006,NA,NA,NA,66.135,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"8","High-income countries",1757,NA,NA,NA,10.01,NA,NA,NA,10.01,NA,NA,NA,76.145,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"9","High-income countries",1758,NA,NA,NA,10.014,NA,NA,NA,10.014,NA,NA,NA,86.159,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"10","High-income countries",1759,NA,NA,NA,10.017,NA,NA,NA,10.017,NA,NA,NA,96.176,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"11","High-income countries",1760,NA,165498849,NA,10.017,0.059,NA,NA,10.017,0.059,NA,NA,106.194,NA,NA,0,0,NA,100,100,NA,NA,NA,NA,NA
"12","High-income countries",1761,NA,NA,NA,10.974,NA,NA,NA,10.974,NA,NA,NA,117.167,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"13","High-income countries",1762,NA,NA,NA,10.977,NA,NA,NA,10.977,NA,NA,NA,128.145,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"14","High-income countries",1763,NA,NA,NA,10.981,NA,NA,NA,10.981,NA,NA,NA,139.126,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
"15","High-income countries",1764,NA,NA,NA,10.985,NA,NA,NA,10.985,NA,NA,NA,150.11,NA,NA,0,NA,NA,100,100,NA,NA,NA,NA,NA
